config_id,validator_count,node_degree,propagation_delay,block_creation_interval,max_block_size,attacker_hash_power,tie_breaking_parameter
1,579,2,23071,235419,7674309,0.343166421941805,0.6245878450867052
2,145,1,34252,266582,5893581,0.2688098420709181,0.19291182060621406
3,267,2,29649,752410,813731,0.20701326826128819,0.5920789864137312
4,188,5,33043,818102,5958590,0.256701659901923,0.44245508376931936
5,213,4,7385,500366,4880929,0.3381711384048055,0.9144318703393411
6,753,4,37595,713929,7942026,0.43809145916268055,0.10204095854388068
7,100,2,16998,381182,458189,0.2318648533232235,0.0329101884850528
8,522,6,8944,448747,6278282,0.4871326131045455,0.29996857132497295
9,358,4,22557,484574,2050352,0.22883381981743944,0.7886380198903334
10,791,2,14761,1001084,1965694,0.2911309761577697,0.974008658362444
11,34,7,39830,730491,6696408,0.49202889946058664,0.7798302806685208
12,295,8,17824,917938,1102601,0.266267628340333,0.14854032328169084
13,82,5,36468,395144,4385805,0.24051790698924463,0.02032379021234582
14,311,7,10685,572167,5474944,0.45295450814150695,0.16823250066566414
15,657,3,35216,964687,5400888,0.213616334907001,0.41135238945777575
16,607,8,35914,149368,6470384,0.20011885424964246,0.4763771722066822
17,557,3,10126,614313,6050121,0.2739216782413744,0.5596521421578965
18,382,3,25503,1119601,4514101,0.3983217256469824,0.5236180641922141
19,777,3,11678,280641,3251360,0.3092756441599964,0.3338325198206363
20,433,3,38298,334853,5594900,0.3954411633931699,0.7650468001341607
21,444,3,17354,1052376,945729,0.25203045196283697,0.23797988407941345
22,674,6,35019,1009682,5216303,0.2638695004546119,0.6555605994803819
23,917,2,29174,362424,2717356,0.3527688516833248,0.8605101396878826
24,613,3,21217,592680,7216967,0.35703394015501333,0.12353004579455037
25,280,5,31655,857944,2421582,0.30354571352563425,0.35439403415149257
26,495,6,15661,1070910,5035509,0.37162951080996165,0.6004156008445275
27,223,1,11018,1109387,3691400,0.413158112083308,0.3869200807797778
28,684,4,15288,838788,6899320,0.2792031041819864,0.6329677901685282
29,901,2,13030,135295,3480033,0.2474269172488293,0.5796444551580053
30,324,1,30415,116553,2835228,0.44899822098948544,0.3622112284202336
31,22,8,32348,547862,2191124,0.3126646569386865,0.7235613283487559
32,394,3,19649,345038,2491483,0.3781107008346849,0.8167354550390558
33,398,4,23703,643323,4262952,0.3210142490906807,0.37253824440809985
34,969,3,14125,780705,548654,0.4433271100400866,0.7125029355148553
35,184,7,26983,709743,3896229,0.42664133577895036,0.1397844143229601
36,719,4,7756,665137,7253182,0.3922262962361737,0.8989606899094805
37,535,7,9660,1177817,6596986,0.40921595111856846,0.00808181952540309
38,329,5,27104,201468,1606720,0.2174812661942624,0.8816587236768497
39,75,7,28012,684547,4931474,0.38034593181998366,0.420940426453212
40,55,8,6739,519787,6400482,0.335702692893187,0.5528472752292172
41,875,7,31348,863116,7363599,0.3015617870568997,0.750114407089652
42,504,6,38899,312293,3948125,0.34988326778601464,0.46643490300443974
43,128,7,32081,104314,4153786,0.47606570796119085,0.9478446445736524
44,696,5,25672,1031628,3227580,0.4883315551746709,0.09828381561194395
45,168,6,34474,483017,3452746,0.40155763332741934,0.8380885311348759
46,857,6,24736,409135,4692413,0.37040604686336154,0.0725888326005014
47,727,8,11778,1060379,328769,0.4688521756769624,0.5318844291965916
48,248,6,23959,293953,1791871,0.28376874824272896,0.20426611488099736
49,474,5,18846,1197659,6222083,0.21134642449914062,0.24346588219958773
50,632,6,12564,61964,1315665,0.499032757126469,0.04422458237436772
51,844,1,28991,809142,1903711,0.3176916341758787,0.17388231560481246
52,952,4,39215,253523,7882197,0.48025460177868934,0.8048528722367883
53,769,6,16183,461342,7026445,0.45984585417974555,0.5075441561980868
54,975,6,22240,76468,1165755,0.4189295939376402,0.2678838860242025
55,861,7,8584,763109,5322202,0.22421701007859496,0.6779910065738252
56,116,3,18305,876910,3074281,0.33058791142962274,0.9306767026515077
57,941,5,8142,658947,7538010,0.28938553517558147,0.30081379219089643
58,996,4,37873,564008,6871026,0.36527347233448026,0.45093952012501654
59,807,5,19097,221593,4624209,0.4628509235885129,0.6619807074751586
60,462,1,21704,611165,4124953,0.4704326449914587,0.6891191523128993
61,747,2,28050,929420,2942591,0.3585944248986245,0.32399054650167414
62,641,7,14359,901393,704674,0.23519828830497114,0.06305489465100005
63,911,7,20634,953028,2288958,0.3852365381343074,0.7328164472869259
64,825,5,30822,170624,2575959,0.2951526662390193,0.2720937061021684
65,242,4,26154,1146760,7591469,0.24582573548590042,0.9672892907152636
66,581,4,33468,427760,3580675,0.44652584783579746,0.9962947321388216
67,147,5,13219,983979,586251,0.4316725167176626,0.9123587411018274
68,545,2,36912,1155279,1385142,0.4286875295625739,0.21495000193573396
69,418,2,20305,185247,1504686,0.4164676340291394,0.8507247192129227
70,349,2,24367,1094168,5690973,0.32441825467228685,0.48692201716014655
