config_id,validator_count,node_degree,propagation_delay,block_creation_interval,max_block_size,attacker_hash_power,tie_breaking_parameter,number_of_attackers,attacker_hash_power_realized
1,442,145,7581,1120,7,0.5094341287077085,0.18247772059601927,216,0.48868778280542985
2,750,3,35849,695,7,0.40349858883188705,0.9303544767734584,303,0.404
3,107,36,17609,463,3,0.25,0.5719724452894119,27,0.2523364485981308
4,563,106,35786,284,4,0.7285465905947821,0.5919123924684255,275,0.48845470692717585
5,953,176,31386,332,1,0.8952813564115512,0.10706088837744838,466,0.48898216159496327
6,22,21,24734,504,8,0.836451911228657,0.1983346436078843,10,0.45454545454545453
7,26,25,19978,627,4,0.5137106413385175,0.8946350089920501,12,0.46153846153846156
8,794,226,23384,482,2,0.8976127684699231,0.2249949759013297,389,0.4899244332493703
9,548,233,8470,349,8,0.5283404653113997,0.9020023407253327,268,0.48905109489051096
10,740,82,31087,763,6,0.5082063281933448,0.6175472049191774,362,0.4891891891891892
11,855,93,18119,455,6,0.7386060625511692,0.7135894802990695,418,0.4888888888888889
12,544,137,24911,815,5,0.781715434278518,0.6515760907778388,266,0.4889705882352941
13,551,75,30384,392,3,0.39669853731485527,0.09369537579457367,219,0.397459165154265
14,530,64,11077,723,1,0.523489421551274,0.7258247001613678,259,0.48867924528301887
15,701,239,9413,223,4,0.25,0.1924424981920684,175,0.24964336661911554
16,768,97,18341,710,2,0.5890017657560038,0.48140123341697033,376,0.4895833333333333
17,731,42,23506,568,2,0.0,0.9046348237555663,0,0.0
18,667,46,13954,869,4,0.8642315573753909,0.251012018361511,326,0.48875562218890556
19,580,38,6741,491,1,0.5960195716334613,0.5188378777205992,284,0.4896551724137931
20,376,44,15476,264,6,0.3977041706818496,0.21879315109133335,150,0.39893617021276595
21,556,171,31748,353,8,0.7296851851073867,0.3313368620053149,272,0.4892086330935252
22,975,45,7102,1000,3,0.562403651275402,0.48847419396192093,477,0.48923076923076925
23,204,117,8692,168,4,0.8966934623452252,0.8523972211323146,99,0.4852941176470588
24,852,121,39754,328,2,0.3886389483871931,0.9741953935901639,331,0.3884976525821596
25,813,102,23550,1062,7,0.8608895390019313,0.5294654006623788,398,0.48954489544895446
26,218,90,24658,218,5,0.0,0.9482131067206043,0,0.0
27,722,111,7345,646,2,0.0,0.35845132819763387,0,0.0
28,893,131,28259,251,1,0.6415838304331081,0.5571266650213224,437,0.48936170212765956
29,40,39,9270,1170,7,0.4128394430035146,0.9704627448210813,17,0.425
30,461,134,39878,1141,3,0.25,0.5253616870107838,115,0.24945770065075923
31,691,84,31624,624,7,0.6783758495196277,0.14340793427417994,338,0.48914616497829233
32,584,91,29612,212,7,0.8529682656182682,0.810088753485906,286,0.4897260273972603
33,540,142,27402,1128,3,0.25,0.8897193208058721,135,0.25
34,718,214,26091,1139,8,0.5569976750092552,0.7264304731014957,351,0.48885793871866295
35,30,29,11750,300,5,0.5296569225731613,0.24040547561545555,14,0.4666666666666667
