system_config_id,core_config_id,bandwidth_variant_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size
1,1,1,195,2,5.0,1117112,2763342
2,1,2,195,2,7.1,1117112,2763342
3,1,3,195,2,10.2,1117112,2763342
4,1,4,195,2,14.6,1117112,2763342
5,1,5,195,2,20.9,1117112,2763342
6,1,6,195,2,29.9,1117112,2763342
7,1,7,195,2,42.7,1117112,2763342
8,1,8,195,2,61.0,1117112,2763342
9,1,9,195,2,87.4,1117112,2763342
10,1,10,195,2,125.0,1117112,2763342
11,2,1,57,6,5.0,143476,3082676
12,2,2,57,6,7.1,143476,3082676
13,2,3,57,6,10.2,143476,3082676
14,2,4,57,6,14.6,143476,3082676
15,2,5,57,6,20.9,143476,3082676
16,2,6,57,6,29.9,143476,3082676
17,2,7,57,6,42.7,143476,3082676
18,2,8,57,6,61.0,143476,3082676
19,2,9,57,6,87.4,143476,3082676
20,2,10,57,6,125.0,143476,3082676
21,3,1,953,6,5.0,1197932,5801972
22,3,2,953,6,7.1,1197932,5801972
23,3,3,953,6,10.2,1197932,5801972
24,3,4,953,6,14.6,1197932,5801972
25,3,5,953,6,20.9,1197932,5801972
26,3,6,953,6,29.9,1197932,5801972
27,3,7,953,6,42.7,1197932,5801972
28,3,8,953,6,61.0,1197932,5801972
29,3,9,953,6,87.4,1197932,5801972
30,3,10,953,6,125.0,1197932,5801972
31,4,1,842,2,5.0,1031839,587281
32,4,2,842,2,7.1,1031839,587281
33,4,3,842,2,10.2,1031839,587281
34,4,4,842,2,14.6,1031839,587281
35,4,5,842,2,20.9,1031839,587281
36,4,6,842,2,29.9,1031839,587281
37,4,7,842,2,42.7,1031839,587281
38,4,8,842,2,61.0,1031839,587281
39,4,9,842,2,87.4,1031839,587281
40,4,10,842,2,125.0,1031839,587281
41,5,1,599,8,5.0,940127,5147543
42,5,2,599,8,7.1,940127,5147543
43,5,3,599,8,10.2,940127,5147543
44,5,4,599,8,14.6,940127,5147543
45,5,5,599,8,20.9,940127,5147543
46,5,6,599,8,29.9,940127,5147543
