strategy,row_index,config_id,validator_count,node_degree,bandwidth,attacker_hash_power,note
selfish,224017,224018,62,2,5.0,0.2312345941585266,"low-N, low-degree, low-bandwidth, low-hashpower"
selfish,167466,167467,75,4,20.9,0.3604525200861999,"low-N, mid-degree, mid-bandwidth, mid-hashpower"
selfish,129938,129939,73,8,125.0,0.4790241755215713,"low-N, high-degree, high-bandwidth, high-hashpower"
selfish,148438,148439,501,2,20.9,0.4790241755215713,"mid-N, low-degree, mid-bandwidth, high-hashpower"
selfish,208917,208918,512,4,125.0,0.2312345941585266,"mid-N, mid-degree, high-bandwidth, low-hashpower"
selfish,79066,79067,528,8,5.0,0.3604525200861999,"mid-N, high-degree, low-bandwidth, mid-hashpower"
selfish,24966,24967,957,2,125.0,0.3604525200861999,"high-N, low-degree, high-bandwidth, mid-hashpower"
selfish,118038,118039,928,4,5.0,0.4790241755215713,"high-N, mid-degree, low-bandwidth, high-hashpower"
selfish,51417,51418,984,8,20.9,0.2312345941585266,"high-N, high-degree, mid-bandwidth, low-hashpower"
selfish,51938,51939,984,8,125.0,0.4790241755215713,"high-N, high-degree, high-bandwidth, high-hashpower"
lead_stubborn,224017,224018,62,2,5.0,0.2312345941585266,"low-N, low-degree, low-bandwidth, low-hashpower"
lead_stubborn,167466,167467,75,4,20.9,0.3604525200861999,"low-N, mid-degree, mid-bandwidth, mid-hashpower"
lead_stubborn,129938,129939,73,8,125.0,0.4790241755215713,"low-N, high-degree, high-bandwidth, high-hashpower"
lead_stubborn,148438,148439,501,2,20.9,0.4790241755215713,"mid-N, low-degree, mid-bandwidth, high-hashpower"
lead_stubborn,208917,208918,512,4,125.0,0.2312345941585266,"mid-N, mid-degree, high-bandwidth, low-hashpower"
lead_stubborn,79066,79067,528,8,5.0,0.3604525200861999,"mid-N, high-degree, low-bandwidth, mid-hashpower"
lead_stubborn,24966,24967,957,2,125.0,0.3604525200861999,"high-N, low-degree, high-bandwidth, mid-hashpower"
lead_stubborn,118038,118039,928,4,5.0,0.4790241755215713,"high-N, mid-degree, low-bandwidth, high-hashpower"
lead_stubborn,51417,51418,984,8,20.9,0.2312345941585266,"high-N, high-degree, mid-bandwidth, low-hashpower"
lead_stubborn,51938,51939,984,8,125.0,0.4790241755215713,"high-N, high-degree, high-bandwidth, high-hashpower"
trail_stubborn,224017,224018,62,2,5.0,0.2312345941585266,"low-N, low-degree, low-bandwidth, low-hashpower"
trail_stubborn,167466,167467,75,4,20.9,0.3604525200861999,"low-N, mid-degree, mid-bandwidth, mid-hashpower"
trail_stubborn,129938,129939,73,8,125.0,0.4790241755215713,"low-N, high-degree, high-bandwidth, high-hashpower"
trail_stubborn,148438,148439,501,2,20.9,0.4790241755215713,"mid-N, low-degree, mid-bandwidth, high-hashpower"
trail_stubborn,208917,208918,512,4,125.0,0.2312345941585266,"mid-N, mid-degree, high-bandwidth, low-hashpower"
trail_stubborn,79066,79067,528,8,5.0,0.3604525200861999,"mid-N, high-degree, low-bandwidth, mid-hashpower"
trail_stubborn,24966,24967,957,2,125.0,0.3604525200861999,"high-N, low-degree, high-bandwidth, mid-hashpower"
trail_stubborn,118038,118039,928,4,5.0,0.4790241755215713,"high-N, mid-degree, low-bandwidth, high-hashpower"
trail_stubborn,51417,51418,984,8,20.9,0.2312345941585266,"high-N, high-degree, mid-bandwidth, low-hashpower"
trail_stubborn,51938,51939,984,8,125.0,0.4790241755215713,"high-N, high-degree, high-bandwidth, high-hashpower"
