strategy,row_index,config_id,validator_count,node_degree,bandwidth,attacker_hash_power,note
selfish,159241,159242,624,3,10.2,0.2544637386172081,vcD7/deg3/bw10.2/hpQ1
selfish,57719,57720,183,4,61.0,0.2461140406262255,vcD2/deg4/bw61.0/hpQ1
selfish,74898,74899,351,4,87.4,0.3227365905845993,vcD4/deg4/bw87.4/hpQ3
selfish,90996,90997,144,5,125.0,0.4855618445578609,vcD2/deg5/bw125.0/hpQ5
selfish,211221,211222,664,5,10.2,0.24260325729568,vcD7/deg5/bw10.2/hpQ1
selfish,149817,149818,408,6,87.4,0.2312345941585266,vcD4/deg6/bw87.4/hpQ1
selfish,124685,124686,544,6,42.7,0.4461023732799478,vcD6/deg6/bw42.7/hpQ5
selfish,32467,32468,726,7,20.9,0.3706046305857265,vcD8/deg7/bw20.9/hpQ3
selfish,182404,182405,374,7,20.9,0.4995762557070848,vcD4/deg7/bw20.9/hpQ5
selfish,193890,193891,178,4,87.4,0.3969614753991711,vcD2/deg4/bw87.4/hpQ4
selfish,247494,247495,445,4,20.9,0.3751229337419657,vcD5/deg4/bw20.9/hpQ3
selfish,222802,222803,558,7,87.4,0.405342196225377,vcD6/deg7/bw87.4/hpQ4
selfish,153298,153299,518,7,10.2,0.3227365905845993,vcD6/deg7/bw10.2/hpQ3
selfish,41413,41414,903,4,20.9,0.4312459512484686,vcD10/deg4/bw20.9/hpQ4
selfish,104817,104818,900,6,87.4,0.2312345941585266,vcD9/deg6/bw87.4/hpQ1
selfish,48731,48732,41,7,61.0,0.4495856593533723,vcD1/deg7/bw61.0/hpQ5
selfish,233378,233379,379,5,14.6,0.3642632456563252,vcD4/deg5/bw14.6/hpQ3
selfish,221310,221311,310,5,14.6,0.3777435584279705,vcD3/deg5/bw14.6/hpQ3
selfish,178532,178533,508,7,29.9,0.2594311744995365,vcD5/deg7/bw29.9/hpQ1
selfish,191036,191037,732,3,5.0,0.469568977189866,vcD8/deg3/bw5.0/hpQ5
selfish,114279,114280,693,6,10.2,0.2816906079992455,vcD7/deg6/bw10.2/hpQ2
selfish,68553,68554,399,7,29.9,0.3585232711576509,vcD4/deg7/bw29.9/hpQ3
selfish,230463,230464,708,6,20.9,0.4895135847322587,vcD8/deg6/bw20.9/hpQ5
selfish,149646,149647,408,6,42.7,0.4071129309119736,vcD4/deg6/bw42.7/hpQ4
selfish,192173,192174,191,6,7.1,0.4831039344913304,vcD2/deg6/bw7.1/hpQ5
selfish,224041,224042,62,2,5.0,0.2544637386172081,vcD1/deg2/bw5.0/hpQ1
selfish,37787,37788,552,7,61.0,0.4229568538429628,vcD6/deg7/bw61.0/hpQ4
selfish,3022,3023,842,2,5.0,0.3494898166749496,vcD9/deg2/bw5.0/hpQ3
selfish,5672,5673,29,8,42.7,0.2631399047202775,vcD1/deg8/bw42.7/hpQ2
selfish,90496,90497,144,5,20.9,0.4855618445578609,vcD2/deg5/bw20.9/hpQ5
selfish,21815,21816,213,6,87.4,0.4208942434349683,vcD2/deg6/bw87.4/hpQ4
selfish,64225,64226,587,3,10.2,0.2702561230694959,vcD6/deg3/bw10.2/hpQ2
selfish,69392,69393,463,4,14.6,0.2779592827386458,vcD5/deg4/bw14.6/hpQ2
selfish,78530,78531,594,4,29.9,0.2689147210983604,vcD6/deg4/bw29.9/hpQ2
selfish,158879,158880,875,3,87.4,0.2816906079992455,vcD9/deg3/bw87.4/hpQ2
selfish,150500,150501,372,4,29.9,0.3857676334163057,vcD4/deg4/bw29.9/hpQ4
selfish,18044,18045,871,3,5.0,0.2747520561924723,vcD9/deg3/bw5.0/hpQ2
selfish,156449,156450,462,8,20.9,0.3349244931377773,vcD5/deg8/bw20.9/hpQ3
selfish,216813,216814,825,5,87.4,0.4312459512484686,vcD9/deg5/bw87.4/hpQ4
selfish,176374,176375,231,5,14.6,0.2525545317138812,vcD3/deg5/bw14.6/hpQ1
selfish,30454,30455,336,6,20.9,0.3277016708096898,vcD4/deg6/bw20.9/hpQ3
selfish,135802,135803,242,7,87.4,0.405342196225377,vcD3/deg7/bw87.4/hpQ4
selfish,102812,102813,741,5,87.4,0.2238256630629619,vcD8/deg5/bw87.4/hpQ1
selfish,110597,110598,199,6,29.9,0.21729239263723,vcD2/deg6/bw29.9/hpQ1
selfish,4708,4709,599,8,61.0,0.2331676534838964,vcD6/deg8/bw61.0/hpQ1
selfish,17350,17351,747,8,14.6,0.2182850515748211,vcD8/deg8/bw14.6/hpQ1
selfish,62214,62215,742,4,10.2,0.28091147618982,vcD8/deg4/bw10.2/hpQ2
selfish,43506,43507,392,6,29.9,0.4657787213448116,vcD4/deg6/bw29.9/hpQ5
selfish,214692,214693,264,6,42.7,0.2779592827386458,vcD3/deg6/bw42.7/hpQ2
selfish,4766,4767,599,8,61.0,0.3604525200861999,vcD6/deg8/bw61.0/hpQ3
selfish,10722,10723,104,4,61.0,0.3494898166749496,vcD1/deg4/bw61.0/hpQ3
selfish,24245,24246,957,2,10.2,0.4184444837622084,vcD10/deg2/bw10.2/hpQ4
selfish,35160,35161,455,7,7.1,0.3070497535774244,vcD5/deg7/bw7.1/hpQ2
selfish,167624,167625,75,4,42.7,0.454095890072901,vcD1/deg4/bw42.7/hpQ5
selfish,186145,186146,94,5,7.1,0.4184444837622084,vcD1/deg5/bw7.1/hpQ4
selfish,100551,100552,720,4,29.9,0.3898718220747056,vcD8/deg4/bw29.9/hpQ4
selfish,137252,137253,158,5,10.2,0.366882515038515,vcD2/deg5/bw10.2/hpQ3
