system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i
2,195,2,7.1,1117112,2763342,1,0.4,,,1.625,0.65
5,195,2,20.9,1117112,2763342,1,0.33,,,1.5454545454545454,0.51
7,195,2,42.7,1117112,2763342,1,0.38,,,1.605263157894737,0.6100000000000001
15,57,6,20.9,143476,3082676,1,0.365,,,1.8356164383561644,0.67
17,57,6,42.7,143476,3082676,1,0.25,,,1.7,0.425
21,953,6,5.0,1197932,5801972,1,0.43,,,1.8953488372093024,0.815
22,953,6,7.1,1197932,5801972,1,0.265,,,1.7358490566037736,0.46
23,953,6,10.2,1197932,5801972,1,0.485,,,1.907216494845361,0.925
24,953,6,14.6,1197932,5801972,1,0.37,,,1.9054054054054055,0.705
25,953,6,20.9,1197932,5801972,1,0.445,,,2.0,0.89
28,953,6,61.0,1197932,5801972,1,0.255,,,1.6666666666666667,0.425
30,953,6,125.0,1197932,5801972,1,0.295,,,1.8644067796610169,0.55
31,842,2,5.0,1031839,587281,1,0.3,,,1.7166666666666666,0.515
32,842,2,7.1,1031839,587281,1,0.445,,,1.5842696629213484,0.705
35,842,2,20.9,1031839,587281,1,0.42,,,1.630952380952381,0.685
40,842,2,125.0,1031839,587281,1,0.415,,,1.6626506024096386,0.69
44,599,8,14.6,940127,5147543,1,0.205,,,1.5609756097560976,0.32
46,599,8,29.9,940127,5147543,1,0.14,,,1.6785714285714286,0.235
47,599,8,42.7,940127,5147543,1,0.2,,,1.6,0.32
48,599,8,61.0,940127,5147543,1,0.335,,,1.7313432835820894,0.58
51,29,8,5.0,890055,4550282,1,0.295,,,1.8305084745762712,0.54
53,29,8,10.2,890055,4550282,1,0.34,,,1.8970588235294117,0.645
57,29,8,42.7,890055,4550282,1,0.46,,,1.8369565217391304,0.845
58,29,8,61.0,890055,4550282,1,0.375,,,1.8666666666666667,0.7
63,645,7,10.2,690687,2454771,1,0.34,,,2.0588235294117645,0.7
64,645,7,14.6,690687,2454771,1,0.355,,,2.0704225352112675,0.735
68,645,7,61.0,690687,2454771,1,0.49,,,1.663265306122449,0.815
73,564,3,10.2,1012372,3981310,1,0.245,,,1.6326530612244898,0.4
75,564,3,20.9,1012372,3981310,1,0.18,,,1.9166666666666667,0.345
77,564,3,42.7,1012372,3981310,1,0.155,,,1.5806451612903225,0.245
79,564,3,87.4,1012372,3981310,1,0.38,,,1.8026315789473684,0.685
80,564,3,125.0,1012372,3981310,1,0.405,,,1.728395061728395,0.7
