config_id,P_ij,B_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
10111,0.35,1.9,0.29768849206349207,0.005090762154512155,200,70,102,104,4,7.1,637257,4082743,11,selfish,0.3777435584279705,0.3053722478730439
100404,0.215,1.8604651162790697,0.1577196275946276,0.0046874000999001,200,43,1005,720,4,20.9,218275,4426223,4,selfish,0.2627648343443758,0.7190241322679278
100891,0.37,1.8513513513513513,0.33611904761904765,0.0052932615995116,200,74,1009,720,4,87.4,218275,4426223,91,selfish,0.3969614753991711,0.3291381696463736
100574,0.45,1.8777777777777778,0.4047559523809523,0.005653392857142855,200,90,1006,720,4,29.9,218275,4426223,74,selfish,0.4831039344913304,0.9827660363748432
101522,0.22,1.8409090909090908,0.1509330808080808,0.004099519900389462,200,44,1016,887,5,29.9,554442,3210555,22,selfish,0.24260325729568,0.2220357375157741
102061,0.28,1.6428571428571428,0.19880844155844157,0.005307748917748916,200,56,1021,741,5,5.0,427985,6135317,61,selfish,0.3070497535774244,0.9179940122389904
101737,0.415,1.9518072289156627,0.3530198412698414,0.0050794859307359275,200,83,1018,887,5,61.0,554442,3210555,37,selfish,0.469568977189866,0.9743873423433428
101955,0.345,2.0144927536231885,0.24282738095238096,0.004615307652873441,200,69,1020,887,5,125.0,554442,3210555,55,selfish,0.3277016708096898,0.5663965080474668
102310,0.38,2.0789473684210527,0.36069047619047623,0.005693829365079364,200,76,1024,741,5,14.6,427985,6135317,10,selfish,0.4737946714611262,0.5224738795684104
103093,0.275,1.7636363636363637,0.2077063492063492,0.005135507172565997,200,55,1031,429,4,5.0,543574,3645522,93,selfish,0.2779592827386458,0.3345825728904498
103198,0.175,1.7428571428571429,0.1057391774891775,0.003908952480268266,200,35,1032,429,4,7.1,543574,3645522,98,selfish,0.21729239263723,0.8840829656528192
10375,0.205,1.6829268292682926,0.15508380018674137,0.0038219598429892533,200,41,104,104,4,14.6,637257,4082743,75,selfish,0.2525545317138812,0.4401811270174162
