system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i,Dbar_plus_i,Dbar_plus_i_ci_low,Dbar_plus_i_ci_high,V_reorg_i
1,195,2,5.0,1117112,2763342,5,0.581,,,1.5880758807588076,0.586,2.017211703958692,,,1.172
2,195,2,7.1,1117112,2763342,2,0.4725,,,1.553030303030303,0.5125,2.0,,,0.945
3,195,2,10.2,1117112,2763342,5,0.5519999999999999,0.445,0.6191083333333334,1.5449438202247192,0.55,2.0090579710144927,2.003846153846154,2.013496280658005,1.109
4,195,2,14.6,1117112,2763342,1,0.505,,,1.5538461538461539,0.505,2.00990099009901,,,1.015
5,195,2,20.9,1117112,2763342,5,0.608,,,1.550408719346049,0.569,2.0032894736842106,,,1.218
6,195,2,29.9,1117112,2763342,4,0.60375,,,1.6040955631399318,0.5875,2.0062111801242235,,,1.21125
7,195,2,42.7,1117112,2763342,5,0.538,0.48,0.5850416666666667,1.5339506172839505,0.497,2.0,2.0,2.0,1.076
8,195,2,61.0,1117112,2763342,6,0.6475,0.5639875,0.71675,1.5661157024793388,0.6316666666666667,2.0,2.0,2.0,1.295
9,195,2,87.4,1117112,2763342,4,0.57375,,,1.5161290322580645,0.52875,2.0,,,1.1475
10,195,2,125.0,1117112,2763342,2,0.5800000000000001,,,1.4962962962962962,0.505,2.0,,,1.16
11,57,6,5.0,143476,3082676,2,0.5675,,,1.7757575757575759,0.7325,2.004405286343612,,,1.1375
12,57,6,7.1,143476,3082676,3,0.515,,,1.852017937219731,0.6883333333333334,2.0032362459546924,,,1.0316666666666667
13,57,6,10.2,143476,3082676,6,0.5116666666666666,0.38475,0.6401666666666667,1.838479809976247,0.645,2.004885993485342,2.0,2.0126758571933543,1.0258333333333334
14,57,6,14.6,143476,3082676,4,0.50625,,,1.7403100775193798,0.56125,2.0024691358024693,,,1.01375
15,57,6,20.9,143476,3082676,3,0.35333333333333333,,,1.7234042553191489,0.405,2.0,,,0.7066666666666667
16,57,6,29.9,143476,3082676,2,0.415,,,1.8076923076923077,0.47,2.0060240963855422,,,0.8325
17,57,6,42.7,143476,3082676,3,0.6566666666666667,,,1.841549295774648,0.8716666666666667,2.0,,,1.3133333333333332
18,57,6,61.0,143476,3082676,4,0.515,,,1.8052434456928839,0.6025,2.004854368932039,,,1.0325
19,57,6,87.4,143476,3082676,3,0.6150000000000001,,,1.7894736842105263,0.7933333333333333,2.002710027100271,,,1.2316666666666667
20,57,6,125.0,143476,3082676,4,0.44999999999999996,,,1.8166666666666667,0.545,2.0027777777777778,,,0.90125
21,953,6,5.0,1197932,5801972,2,0.5650000000000001,,,1.794871794871795,0.7,2.004424778761062,,,1.1325
22,953,6,7.1,1197932,5801972,2,0.4325,,,1.766355140186916,0.4725,2.0,,,0.865
23,953,6,10.2,1197932,5801972,2,0.4475,,,1.8095238095238095,0.57,2.0,,,0.895
24,953,6,14.6,1197932,5801972,4,0.5475000000000001,,,1.809061488673139,0.69875,2.0,,,1.095
25,953,6,20.9,1197932,5801972,3,0.45,,,1.7918781725888324,0.5883333333333334,2.0,,,0.9
26,953,6,29.9,1197932,5801972,5,0.39799999999999996,,,1.8113207547169812,0.48,2.007537688442211,,,0.799
27,953,6,42.7,1197932,5801972,5,0.421,,,1.8443708609271523,0.557,2.0,,,0.842
28,953,6,61.0,1197932,5801972,6,0.4691666666666667,0.31495833333333334,0.62375625,1.903896103896104,0.6108333333333333,2.008880994671403,2.0,2.017399483799521,0.9425
29,953,6,87.4,1197932,5801972,4,0.4075,,,1.8465116279069766,0.49625,2.0061349693251533,,,0.8175
30,953,6,125.0,1197932,5801972,3,0.45166666666666666,,,1.7819148936170213,0.5583333333333333,2.003690036900369,,,0.905
31,842,2,5.0,1031839,587281,6,0.4483333333333333,0.37825000000000003,0.5516666666666666,1.5910364145658262,0.47333333333333333,2.0111524163568775,2.0,2.018659417649317,0.9016666666666666
32,842,2,7.1,1031839,587281,4,0.57625,,,1.4962406015037595,0.4975,2.0065075921908893,,,1.15625
33,842,2,10.2,1031839,587281,4,0.49125,,,1.554263565891473,0.50125,2.005089058524173,,,0.985
34,842,2,14.6,1031839,587281,1,0.5,,,1.4516129032258065,0.45,2.0,,,1.0
35,842,2,20.9,1031839,587281,6,0.5750000000000001,0.46496875000000004,0.6742083333333334,1.5625,0.5416666666666666,2.0043478260869567,2.0,2.00913126275898,1.1525
36,842,2,29.9,1031839,587281,5,0.529,,,1.504297994269341,0.525,2.003780718336484,,,1.06
37,842,2,42.7,1031839,587281,3,0.7033333333333333,,,1.5471014492753623,0.7116666666666667,2.0,,,1.4066666666666667
38,842,2,61.0,1031839,587281,4,0.5862499999999999,,,1.4763636363636363,0.5075,2.0,,,1.1725
39,842,2,87.4,1031839,587281,5,0.583,0.485,0.69704375,1.4814814814814814,0.48,2.0017152658662094,2.0,2.005291005291005,1.167
40,842,2,125.0,1031839,587281,3,0.5983333333333334,,,1.5707317073170732,0.5366666666666666,2.002785515320334,,,1.1983333333333333
41,599,8,5.0,940127,5147543,3,0.46166666666666667,,,1.8,0.555,2.003610108303249,,,0.925
42,599,8,7.1,940127,5147543,3,0.45999999999999996,,,1.7458563535911602,0.5266666666666666,2.003623188405797,,,0.9216666666666666
43,599,8,10.2,940127,5147543,3,0.5116666666666666,,,1.759090909090909,0.645,2.0,,,1.0233333333333334
44,599,8,14.6,940127,5147543,3,0.57,,,1.8227272727272728,0.6683333333333333,2.0,,,1.14
45,599,8,20.9,940127,5147543,6,0.48583333333333334,0.3108125,0.655,1.8120481927710843,0.6266666666666667,2.0,2.0,2.0,0.9716666666666667
46,599,8,29.9,940127,5147543,5,0.42400000000000004,0.32999999999999996,0.536825,1.7836879432624113,0.503,2.0,2.0,2.0,0.848
47,599,8,42.7,940127,5147543,2,0.5449999999999999,,,1.6666666666666667,0.575,2.0045871559633026,,,1.0925
48,599,8,61.0,940127,5147543,6,0.4741666666666667,0.4183333333333333,0.51,1.8333333333333333,0.6141666666666666,2.0035149384885766,2.0,2.0091176470588237,0.95
49,599,8,87.4,940127,5147543,5,0.43900000000000006,,,1.7643097643097643,0.524,2.0,,,0.878
50,599,8,125.0,940127,5147543,4,0.42000000000000004,,,1.8135593220338984,0.535,2.0,,,0.84
51,29,8,5.0,890055,4550282,6,0.4383333333333334,0.3479875,0.49809687500000005,1.7507082152974505,0.515,2.0076045627376424,2.0,2.0135976496107544,0.88
52,29,8,7.1,890055,4550282,5,0.536,,,1.8016759776536313,0.645,2.003731343283582,,,1.074
53,29,8,10.2,890055,4550282,3,0.6666666666666666,,,1.8698884758364311,0.8383333333333334,2.0125,,,1.3416666666666666
54,29,8,14.6,890055,4550282,5,0.45899999999999996,0.295,0.5775,1.7830188679245282,0.567,2.0152505446623095,2.00306712962963,2.0215511678926315,0.925
55,29,8,20.9,890055,4550282,5,0.458,,,1.7380952380952381,0.511,2.006550218340611,,,0.919
56,29,8,29.9,890055,4550282,6,0.49666666666666665,,,1.85752688172043,0.5758333333333333,2.0067114093959733,,,0.9966666666666667
57,29,8,42.7,890055,4550282,4,0.4287500000000001,,,1.7307692307692308,0.50625,2.008746355685131,,,0.86125
58,29,8,61.0,890055,4550282,3,0.49666666666666665,,,1.768041237113402,0.5716666666666667,2.0067114093959733,,,0.9966666666666667
59,29,8,87.4,890055,4550282,2,0.345,,,1.7307692307692308,0.3375,2.0217391304347827,,,0.6975
60,29,8,125.0,890055,4550282,6,0.49750000000000005,0.40208333333333335,0.59,1.762962962962963,0.595,2.0050251256281406,2.0,2.0099942218798152,0.9975
61,645,7,5.0,690687,2454771,3,0.48500000000000004,,,1.7916666666666667,0.5733333333333334,2.006872852233677,,,0.9733333333333334
62,645,7,7.1,690687,2454771,5,0.506,,,1.8695652173913044,0.645,2.013833992094862,,,1.019
63,645,7,10.2,690687,2454771,3,0.46166666666666667,,,1.757396449704142,0.495,2.0108303249097474,,,0.9283333333333333
64,645,7,14.6,690687,2454771,2,0.4075,,,1.7383177570093458,0.465,2.0122699386503067,,,0.82
65,645,7,20.9,690687,2454771,4,0.39625,,,1.7857142857142858,0.46875,2.003154574132492,,,0.79375
66,645,7,29.9,690687,2454771,3,0.5716666666666667,,,1.8940677966101696,0.745,2.008746355685131,,,1.1483333333333334
67,645,7,42.7,690687,2454771,3,0.56,,,1.8987854251012146,0.7816666666666666,2.011904761904762,,,1.1266666666666667
68,645,7,61.0,690687,2454771,5,0.5029999999999999,,,1.855421686746988,0.616,2.00596421471173,,,1.009
69,645,7,87.4,690687,2454771,5,0.4720000000000001,,,1.8122977346278317,0.56,2.0042372881355934,,,0.946
70,645,7,125.0,690687,2454771,4,0.4525,,,1.8166666666666667,0.545,2.005524861878453,,,0.9075
71,564,3,5.0,1012372,3981310,1,0.26,,,1.605263157894737,0.30500000000000005,2.0,,,0.52
72,564,3,7.1,1012372,3981310,7,0.4321428571428571,0.32331249999999995,0.5380708333333334,1.7222222222222223,0.48714285714285716,2.003305785123967,2.0,2.008067726231386,0.8657142857142858
73,564,3,10.2,1012372,3981310,3,0.39999999999999997,,,1.8129032258064517,0.4683333333333333,2.004166666666667,,,0.8016666666666666
74,564,3,14.6,1012372,3981310,2,0.615,,,1.8397435897435896,0.7175,2.0040650406504064,,,1.2325
75,564,3,20.9,1012372,3981310,6,0.505,0.434375,0.59636875,1.7655860349127181,0.59,2.0115511551155114,2.0,2.0237782777152855,1.0158333333333334
76,564,3,29.9,1012372,3981310,2,0.385,,,1.6504854368932038,0.425,2.0064935064935066,,,0.7725
77,564,3,42.7,1012372,3981310,6,0.43500000000000005,0.2983125,0.5808750000000001,1.6676737160120847,0.46,2.003831417624521,2.0,2.0079037037037035,0.8716666666666667
78,564,3,61.0,1012372,3981310,4,0.5125,,,1.7651515151515151,0.5825,2.002439024390244,,,1.02625
79,564,3,87.4,1012372,3981310,3,0.5616666666666666,,,1.7630331753554502,0.62,2.0029673590504453,,,1.125
80,564,3,125.0,1012372,3981310,3,0.4116666666666667,,,1.6178343949044587,0.42333333333333334,2.0040485829959516,,,0.825
81,365,3,5.0,582801,3620340,5,0.49300000000000005,,,1.7794117647058822,0.605,2.006085192697769,,,0.989
82,365,3,7.1,582801,3620340,5,0.45,,,1.7440273037542662,0.511,2.002222222222222,,,0.901
83,365,3,10.2,582801,3620340,2,0.4225,,,1.85,0.4625,2.0118343195266273,,,0.85
84,365,3,14.6,582801,3620340,2,0.42000000000000004,,,1.865546218487395,0.555,2.011904761904762,,,0.845
85,365,3,20.9,582801,3620340,6,0.39916666666666667,,,1.6910828025477707,0.4425,2.0041753653444676,,,0.8
86,365,3,29.9,582801,3620340,3,0.4283333333333333,,,1.8299319727891157,0.4483333333333333,2.0,,,0.8566666666666667
87,365,3,42.7,582801,3620340,5,0.453,0.30640625000000005,0.6022833333333334,1.728476821192053,0.522,2.0044150110375276,2.0,2.008771929824561,0.908
88,365,3,61.0,582801,3620340,2,0.55,,,1.6623376623376624,0.64,2.0045454545454544,,,1.1025
89,365,3,87.4,582801,3620340,5,0.471,,,1.8087774294670846,0.577,2.010615711252654,,,0.947
90,365,3,125.0,582801,3620340,5,0.534,,,1.848137535816619,0.645,2.00561797752809,,,1.071
91,963,5,5.0,650552,1655147,3,0.5133333333333333,,,1.8952380952380952,0.6633333333333333,2.0064935064935066,,,1.03
92,963,5,7.1,650552,1655147,2,0.4,,,1.981818181818182,0.545,2.00625,,,0.8025
93,963,5,10.2,650552,1655147,6,0.39333333333333337,,,1.8,0.48,2.0021186440677967,,,0.7875
94,963,5,14.6,650552,1655147,3,0.49166666666666664,,,1.8423645320197044,0.6233333333333333,2.006779661016949,,,0.9866666666666667
95,963,5,20.9,650552,1655147,3,0.61,,,1.8830188679245283,0.8316666666666667,2.0081967213114753,,,1.225
96,963,5,29.9,650552,1655147,4,0.4675,,,1.8692307692307693,0.6075,2.0026737967914436,,,0.93625
97,963,5,42.7,650552,1655147,7,0.4835714285714286,0.370378125,0.5862812500000001,1.7410714285714286,0.5571428571428572,2.001477104874446,2.0,2.004085411942555,0.9678571428571429
98,963,5,61.0,650552,1655147,4,0.44125,,,1.73828125,0.55625,2.0056657223796033,,,0.885
99,963,5,87.4,650552,1655147,2,0.4675,,,1.967741935483871,0.61,2.021390374331551,,,0.945
100,963,5,125.0,650552,1655147,5,0.4590000000000001,,,1.9253246753246753,0.593,2.008714596949891,,,0.922
101,104,4,5.0,637257,4082743,4,0.4475,,,1.6798418972332017,0.53125,2.0027932960893855,,,0.89625
102,104,4,7.1,637257,4082743,1,0.365,,,1.7543859649122806,0.5,2.0136986301369864,,,0.735
103,104,4,10.2,637257,4082743,3,0.48333333333333334,,,1.8848167539267016,0.6,2.0068965517241377,,,0.97
104,104,4,14.6,637257,4082743,3,0.61,,,1.7782101167315174,0.7616666666666667,2.0163934426229506,,,1.23
105,104,4,20.9,637257,4082743,2,0.5425,,,1.6865671641791045,0.565,2.0,,,1.085
106,104,4,29.9,637257,4082743,4,0.4425,,,1.7346938775510203,0.53125,2.005649717514124,,,0.8875
107,104,4,42.7,637257,4082743,2,0.47,,,1.7603305785123966,0.5325,2.0,,,0.94
108,104,4,61.0,637257,4082743,3,0.5,,,1.7474747474747474,0.5766666666666667,2.01,,,1.005
109,104,4,87.4,637257,4082743,3,0.48833333333333334,,,1.7091836734693877,0.5583333333333333,2.006825938566553,,,0.98
110,104,4,125.0,637257,4082743,9,0.4933333333333333,0.39975000000000005,0.5777259615384616,1.84006734006734,0.6072222222222222,2.0067567567567566,2.0011031219272373,2.0122257926019755,0.99
111,642,5,5.0,1074544,2702765,6,0.54,0.42500000000000004,0.6633333333333333,1.7941787941787941,0.7191666666666666,2.006172839506173,2.0,2.0108469093590773,1.0833333333333333
112,642,5,7.1,1074544,2702765,5,0.45499999999999996,,,1.8754098360655738,0.572,2.0043956043956044,,,0.912
113,642,5,10.2,1074544,2702765,5,0.404,,,1.8985507246376812,0.524,2.007425742574257,,,0.811
114,642,5,14.6,1074544,2702765,6,0.4825,0.34987500000000005,0.6020125000000001,1.8833746898263026,0.6325,2.003454231433506,2.0,2.007143345933264,0.9666666666666667
115,642,5,20.9,1074544,2702765,1,0.27,,,1.6875,0.27,2.0,,,0.54
116,642,5,29.9,1074544,2702765,3,0.51,,,1.8724489795918366,0.6116666666666667,2.003267973856209,,,1.0216666666666667
117,642,5,42.7,1074544,2702765,4,0.52,,,1.848148148148148,0.62375,2.0048076923076925,,,1.0425
118,642,5,61.0,1074544,2702765,2,0.55,,,1.8951048951048952,0.6775,2.0,,,1.1
119,642,5,87.4,1074544,2702765,7,0.4278571428571429,0.31125,0.5407321428571431,1.853846153846154,0.5164285714285715,2.008347245409015,2.0,2.0135697188695634,0.8592857142857143
120,642,5,125.0,1074544,2702765,7,0.44928571428571423,0.35789375,0.5602812500000001,1.8666666666666667,0.56,2.0031796502384736,2.0,2.0059632117309736,0.9
121,621,7,5.0,424702,2860996,5,0.5269999999999999,,,1.9322033898305084,0.684,2.015180265654649,,,1.062
122,621,7,7.1,424702,2860996,5,0.552,0.44,0.64,1.8387978142076502,0.673,2.0072463768115942,2.0,2.01182889205893,1.108
123,621,7,10.2,424702,2860996,3,0.49500000000000005,,,1.7905759162303665,0.57,2.0,,,0.99
124,621,7,14.6,424702,2860996,5,0.437,,,1.84,0.552,2.004576659038902,,,0.876
125,621,7,20.9,424702,2860996,3,0.5216666666666667,,,1.8409090909090908,0.675,2.0031948881789137,,,1.045
126,621,7,29.9,424702,2860996,5,0.45999999999999996,,,1.8662420382165605,0.586,2.006521739130435,,,0.923
127,621,7,42.7,424702,2860996,5,0.44000000000000006,,,1.880952380952381,0.553,2.0022727272727274,,,0.881
