system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i,Dbar_plus_i,Dbar_plus_i_ci_low,Dbar_plus_i_ci_high,V_reorg_i
1,195,2,5.0,1117112,2763342,5,0.605,,,1.5964010282776349,0.621,2.0148760330578512,,,1.219
2,195,2,7.1,1117112,2763342,2,0.575,,,1.6616541353383458,0.5525,2.0130434782608697,,,1.1575
3,195,2,10.2,1117112,2763342,5,0.5599999999999999,0.415,0.6350833333333333,1.7046153846153846,0.554,2.007142857142857,2.0,2.0090723137280624,1.124
4,195,2,14.6,1117112,2763342,1,0.445,,,1.826086956521739,0.42,2.0112359550561796,,,0.8949999999999999
5,195,2,20.9,1117112,2763342,5,0.6439999999999999,,,1.6548913043478262,0.609,2.001552795031056,,,1.289
6,195,2,29.9,1117112,2763342,4,0.605,,,1.5904436860068258,0.5825,2.006198347107438,,,1.21375
7,195,2,42.7,1117112,2763342,5,0.557,0.47750000000000004,0.6478541666666667,1.6952380952380952,0.534,2.0035906642728905,2.0,2.007755419810756,1.116
8,195,2,61.0,1117112,2763342,6,0.6516666666666667,0.5424624999999998,0.7520416666666667,1.7328605200945626,0.6108333333333333,2.002557544757033,2.0,2.006756756756757,1.305
9,195,2,87.4,1117112,2763342,4,0.58,,,1.6781609195402298,0.5475,2.002155172413793,,,1.16125
10,195,2,125.0,1117112,2763342,2,0.5549999999999999,,,1.596638655462185,0.475,2.0,,,1.11
11,57,6,5.0,143476,3082676,2,0.6074999999999999,,,2.0884353741496597,0.7675,2.0,,,1.215
12,57,6,7.1,143476,3082676,3,0.5216666666666666,,,1.7958115183246073,0.5716666666666667,2.0,,,1.0433333333333332
13,57,6,10.2,143476,3082676,6,0.5141666666666668,0.38426190476190475,0.6418750000000001,1.8865435356200528,0.5958333333333333,2.0,2.0,2.0,1.0283333333333333
14,57,6,14.6,143476,3082676,4,0.535,,,1.869047619047619,0.58875,2.0023364485981308,,,1.07125
15,57,6,20.9,143476,3082676,3,0.38000000000000006,,,1.8273381294964028,0.42333333333333334,2.0,,,0.76
16,57,6,29.9,143476,3082676,2,0.4475,,,1.6936936936936937,0.47,2.0,,,0.895
17,57,6,42.7,143476,3082676,3,0.6333333333333333,,,1.7932489451476794,0.7083333333333334,2.0026315789473683,,,1.2683333333333333
18,57,6,61.0,143476,3082676,4,0.53375,,,1.9273504273504274,0.56375,2.002341920374707,,,1.06875
19,57,6,87.4,143476,3082676,3,0.5916666666666667,,,1.8387096774193548,0.665,2.0028169014084507,,,1.185
20,57,6,125.0,143476,3082676,4,0.4525,,,1.855140186915888,0.49625,2.0,,,0.905
21,953,6,5.0,1197932,5801972,2,0.59,,,2.026666666666667,0.76,2.0,,,1.18
22,953,6,7.1,1197932,5801972,2,0.3775,,,1.8,0.4275,2.0,,,0.755
23,953,6,10.2,1197932,5801972,2,0.4925,,,1.8114754098360655,0.5525,2.0,,,0.985
24,953,6,14.6,1197932,5801972,4,0.5549999999999999,,,1.9625468164794007,0.655,2.0,,,1.11
25,953,6,20.9,1197932,5801972,3,0.4633333333333334,,,1.9281437125748504,0.5366666666666666,2.0,,,0.9266666666666666
26,953,6,29.9,1197932,5801972,5,0.41900000000000004,,,1.8643410852713178,0.481,2.0023866348448687,,,0.839
27,953,6,42.7,1197932,5801972,5,0.41400000000000003,,,1.8924302788844622,0.475,2.0,,,0.828
28,953,6,61.0,1197932,5801972,6,0.47833333333333333,0.3346666666666666,0.630125,1.8936170212765957,0.5191666666666667,2.005226480836237,2.0,2.012243295590145,0.9591666666666666
29,953,6,87.4,1197932,5801972,4,0.43999999999999995,,,1.9113300492610839,0.485,2.002840909090909,,,0.88125
30,953,6,125.0,1197932,5801972,3,0.43333333333333335,,,1.8376623376623376,0.4716666666666667,2.0,,,0.8666666666666667
31,842,2,5.0,1031839,587281,6,0.4833333333333334,0.43825,0.5351250000000001,1.5384615384615385,0.5,2.0120689655172415,2.0,2.0285698051948056,0.9725
32,842,2,7.1,1031839,587281,4,0.60625,,,1.6418918918918919,0.6075,2.0185567010309278,,,1.22375
33,842,2,10.2,1031839,587281,4,0.515,,,1.599250936329588,0.53375,2.0145631067961167,,,1.0375
34,842,2,14.6,1031839,587281,1,0.46,,,1.5573770491803278,0.475,2.0,,,0.92
35,842,2,20.9,1031839,587281,6,0.55,0.43499999999999994,0.6601250000000001,1.6009501187648456,0.5616666666666666,2.007575757575758,2.0,2.012247235139591,1.1041666666666667
36,842,2,29.9,1031839,587281,5,0.5159999999999999,,,1.6083086053412463,0.542,2.003875968992248,,,1.034
37,842,2,42.7,1031839,587281,3,0.715,,,1.6422764227642277,0.6733333333333333,2.0,,,1.43
38,842,2,61.0,1031839,587281,4,0.58375,,,1.6272401433691757,0.5675,2.0,,,1.1675
39,842,2,87.4,1031839,587281,5,0.583,0.471825,0.6720250000000001,1.6466876971608833,0.522,2.0,2.0,2.0,1.166
40,842,2,125.0,1031839,587281,3,0.5700000000000001,,,1.6647727272727273,0.48833333333333334,2.0,,,1.14
41,599,8,5.0,940127,5147543,3,0.49500000000000005,,,1.8241758241758241,0.5533333333333333,2.0,,,0.99
42,599,8,7.1,940127,5147543,3,0.45999999999999996,,,1.8305084745762712,0.54,2.003623188405797,,,0.9216666666666666
43,599,8,10.2,940127,5147543,3,0.5233333333333333,,,1.9540229885057472,0.5666666666666667,2.0,,,1.0466666666666666
44,599,8,14.6,940127,5147543,3,0.585,,,1.9764150943396226,0.6983333333333334,2.0,,,1.17
45,599,8,20.9,940127,5147543,6,0.49,0.34743749999999995,0.635,1.9008264462809918,0.575,2.0,2.0,2.0,0.98
46,599,8,29.9,940127,5147543,5,0.429,0.315,0.5375,1.7864768683274022,0.502,2.0,2.0,2.0,0.858
47,599,8,42.7,940127,5147543,2,0.565,,,1.9147286821705427,0.6175,2.0,,,1.13
48,599,8,61.0,940127,5147543,6,0.4708333333333334,0.3869375,0.51801875,1.913946587537092,0.5375,2.0,2.0,2.0,0.9416666666666667
49,599,8,87.4,940127,5147543,5,0.43499999999999994,,,1.9224806201550388,0.496,2.0022988505747126,,,0.871
50,599,8,125.0,940127,5147543,4,0.4075,,,1.8385416666666667,0.44125,2.0,,,0.815
51,29,8,5.0,890055,4550282,6,0.4483333333333333,0.3756,0.5131718749999999,1.8164556962025316,0.47833333333333333,2.003717472118959,2.0,2.007222591133907,0.8983333333333333
52,29,8,7.1,890055,4550282,5,0.508,,,1.8571428571428572,0.546,2.0059055118110236,,,1.019
53,29,8,10.2,890055,4550282,3,0.6183333333333333,,,1.9022222222222223,0.7133333333333334,2.0026954177897576,,,1.2383333333333333
54,29,8,14.6,890055,4550282,5,0.48699999999999993,0.34833333333333333,0.5850624999999999,1.8934707903780068,0.551,2.0020533880903493,2.0,2.0056497175141246,0.975
55,29,8,20.9,890055,4550282,5,0.46299999999999997,,,1.823943661971831,0.518,2.002159827213823,,,0.927
56,29,8,29.9,890055,4550282,6,0.5175,,,1.830188679245283,0.5658333333333333,2.003220611916264,,,1.0366666666666666
57,29,8,42.7,890055,4550282,4,0.445,,,1.9118942731277533,0.5425,2.002808988764045,,,0.89125
58,29,8,61.0,890055,4550282,3,0.5316666666666666,,,1.816831683168317,0.6116666666666667,2.0,,,1.0633333333333332
59,29,8,87.4,890055,4550282,2,0.4125,,,1.766990291262136,0.455,2.0,,,0.825
60,29,8,125.0,890055,4550282,6,0.5233333333333333,0.42154166666666665,0.6366875000000001,1.839779005524862,0.555,2.001592356687898,2.0,2.005664780763791,1.0475
61,645,7,5.0,690687,2454771,3,0.47,,,1.8864864864864865,0.5816666666666667,2.0,,,0.94
62,645,7,7.1,690687,2454771,5,0.504,,,1.962837837837838,0.581,2.001984126984127,,,1.009
63,645,7,10.2,690687,2454771,3,0.4383333333333333,,,1.9325153374233128,0.525,2.0,,,0.8766666666666667
64,645,7,14.6,690687,2454771,2,0.4375,,,1.8349514563106797,0.4725,2.0,,,0.875
65,645,7,20.9,690687,2454771,4,0.40875,,,1.8714285714285714,0.49125,2.00611620795107,,,0.82
66,645,7,29.9,690687,2454771,3,0.5766666666666667,,,1.9304347826086956,0.74,2.008670520231214,,,1.1583333333333334
67,645,7,42.7,690687,2454771,3,0.6066666666666666,,,2.041860465116279,0.7316666666666667,2.0027472527472527,,,1.215
68,645,7,61.0,690687,2454771,5,0.509,,,1.8693009118541033,0.615,2.0078585461689586,,,1.022
69,645,7,87.4,690687,2454771,5,0.449,,,1.981060606060606,0.523,2.002227171492205,,,0.899
70,645,7,125.0,690687,2454771,4,0.45375,,,1.8243243243243243,0.50625,2.0,,,0.9075
71,564,3,5.0,1012372,3981310,1,0.245,,,1.606060606060606,0.265,2.0,,,0.49
72,564,3,7.1,1012372,3981310,7,0.4307142857142857,0.32894166666666674,0.5490250000000001,1.8438356164383563,0.4807142857142857,2.001658374792703,2.0,2.0056818181818183,0.8621428571428571
73,564,3,10.2,1012372,3981310,3,0.3916666666666666,,,1.7259259259259259,0.3883333333333333,2.0,,,0.7833333333333333
74,564,3,14.6,1012372,3981310,2,0.5775,,,1.8,0.6075,2.0043290043290045,,,1.1575
75,564,3,20.9,1012372,3981310,6,0.5183333333333332,0.44495,0.6268781250000001,1.8506666666666667,0.5783333333333334,2.0,2.0,2.0,1.0366666666666666
76,564,3,29.9,1012372,3981310,2,0.355,,,1.7586206896551724,0.3825,2.0,,,0.71
77,564,3,42.7,1012372,3981310,6,0.4533333333333334,0.35124375,0.5764625000000001,1.8675496688741722,0.47,2.005514705882353,2.0,2.01048902916422,0.9091666666666667
