config_id,P_ij,B_ij,Dbar_plus_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,n_status_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
10111,0.475,1.9827586206896552,2.0105263157894737,0.266757992007992,0.0057299392274392244,200,58,95,102,104,4,7.1,637257,4082743,11,lead_stubborn,0.3777435584279705,0.3053722478730439
100891,0.57,1.76,2.0,0.3328715728715729,0.0051961590696884795,200,75,114,1009,720,4,87.4,218275,4426223,91,lead_stubborn,0.3969614753991711,0.3291381696463736
100574,0.655,1.8453608247422681,2.015267175572519,0.4417828144078144,0.005671799450549448,200,97,131,1006,720,4,29.9,218275,4426223,74,lead_stubborn,0.4831039344913304,0.9827660363748432
100404,0.325,1.8222222222222222,2.0,0.15380133755133754,0.004641533952158951,200,45,65,1005,720,4,20.9,218275,4426223,4,lead_stubborn,0.2627648343443758,0.7190241322679278
101522,0.285,1.627906976744186,2.0,0.13581429198820508,0.0041536109649089195,200,43,57,1016,887,5,29.9,554442,3210555,22,lead_stubborn,0.24260325729568,0.2220357375157741
102061,0.41,1.7333333333333334,2.0,0.22944642857142855,0.005815416666666661,200,60,82,1021,741,5,5.0,427985,6135317,61,lead_stubborn,0.3070497535774244,0.9179940122389904
101737,0.55,1.935897435897436,2.018181818181818,0.35154549617049613,0.005412818570318571,200,78,110,1018,887,5,61.0,554442,3210555,37,lead_stubborn,0.469568977189866,0.9743873423433428
101955,0.47,1.8181818181818181,2.0,0.27412047674547674,0.0045120777833277835,200,66,94,1020,887,5,125.0,554442,3210555,55,lead_stubborn,0.3277016708096898,0.5663965080474668
102310,0.64,1.946236559139785,2.015625,0.43088690476190483,0.0056548809523809486,200,93,128,1024,741,5,14.6,427985,6135317,10,lead_stubborn,0.4737946714611262,0.5224738795684104
103093,0.295,1.7272727272727273,2.0,0.1597936507936508,0.005287720612720611,200,44,59,1031,429,4,5.0,543574,3645522,93,lead_stubborn,0.2779592827386458,0.3345825728904498
103198,0.275,1.7045454545454546,2.0,0.13545976684134578,0.00442147915895594,200,44,55,1032,429,4,7.1,543574,3645522,98,lead_stubborn,0.21729239263723,0.8840829656528192
10375,0.295,1.625,2.0,0.14579254955570742,0.004731105904254883,200,40,59,104,104,4,14.6,637257,4082743,75,lead_stubborn,0.2525545317138812,0.4401811270174162
103703,0.545,1.9154929577464788,2.0,0.3054087301587301,0.005131051587301587,200,71,109,1038,429,4,61.0,543574,3645522,3,lead_stubborn,0.405342196225377,0.1209354681890304
103433,0.355,1.6511627906976745,2.0,0.16605739603533723,0.004554935244494069,200,43,71,1035,429,4,20.9,543574,3645522,33,lead_stubborn,0.2594311744995365,0.5379384620687854
102822,0.29,1.7560975609756098,2.0172413793103448,0.1504467893217893,0.004297145916175325,200,41,58,1029,741,5,87.4,427985,6135317,22,lead_stubborn,0.24260325729568,0.2220357375157741
104082,0.45,1.859375,2.0,0.2497186147186147,0.004647540792540792,200,64,90,1041,900,6,5.0,1105037,4657678,82,lead_stubborn,0.3128186843462212,0.0598593952629424
