system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i,Dbar_plus_i,Dbar_plus_i_ci_low,Dbar_plus_i_ci_high,V_reorg_i
2,195,2,7.1,1117112,2763342,1,0.635,,,1.5866666666666667,0.595,2.0,,,1.27
5,195,2,20.9,1117112,2763342,1,0.47,,,1.4918032786885247,0.455,2.0,,,0.94
7,195,2,42.7,1117112,2763342,1,0.515,,,1.5245901639344261,0.465,2.0,,,1.03
15,57,6,20.9,143476,3082676,1,0.49,,,1.873015873015873,0.59,2.0,,,0.98
17,57,6,42.7,143476,3082676,1,0.38,,,1.7142857142857142,0.36,2.0,,,0.76
21,953,6,5.0,1197932,5801972,1,0.65,,,1.925,0.77,2.0153846153846153,,,1.31
22,953,6,7.1,1197932,5801972,1,0.31,,,1.837837837837838,0.34,2.0,,,0.62
23,953,6,10.2,1197932,5801972,1,0.66,,,1.962962962962963,0.795,2.0,,,1.32
24,953,6,14.6,1197932,5801972,1,0.51,,,1.8709677419354838,0.58,2.0,,,1.02
25,953,6,20.9,1197932,5801972,1,0.605,,,2.0533333333333332,0.77,2.0,,,1.21
28,953,6,61.0,1197932,5801972,1,0.56,,,2.015151515151515,0.665,2.0089285714285716,,,1.1250000000000002
30,953,6,125.0,1197932,5801972,1,0.4,,,1.7659574468085106,0.415,2.0,,,0.8
31,842,2,5.0,1031839,587281,1,0.53,,,1.591549295774648,0.565,2.009433962264151,,,1.065
32,842,2,7.1,1031839,587281,1,0.62,,,1.4929577464788732,0.53,2.0080645161290325,,,1.245
35,842,2,20.9,1031839,587281,1,0.72,,,1.8208955223880596,0.61,2.0,,,1.44
40,842,2,125.0,1031839,587281,1,0.64,,,1.6111111111111112,0.435,2.0,,,1.28
44,599,8,14.6,940127,5147543,1,0.28,,,1.829268292682927,0.375,2.0,,,0.56
46,599,8,29.9,940127,5147543,1,0.3,,,2.1714285714285713,0.38,2.0,,,0.6
47,599,8,42.7,940127,5147543,1,0.39,,,1.8,0.495,2.0,,,0.78
48,599,8,61.0,940127,5147543,1,0.585,,,1.8333333333333333,0.605,2.0,,,1.17
51,29,8,5.0,890055,4550282,1,0.52,,,1.9180327868852458,0.585,2.019230769230769,,,1.05
53,29,8,10.2,890055,4550282,1,0.54,,,2.1016949152542375,0.6200000000000001,2.0,,,1.08
57,29,8,42.7,890055,4550282,1,0.67,,,1.956989247311828,0.91,2.0223880597014925,,,1.355
58,29,8,61.0,890055,4550282,1,0.54,,,2.0,0.56,2.0,,,1.08
63,645,7,10.2,690687,2454771,1,0.48,,,1.9322033898305084,0.57,2.0,,,0.96
64,645,7,14.6,690687,2454771,1,0.55,,,2.076923076923077,0.675,2.0,,,1.1
68,645,7,61.0,690687,2454771,1,0.645,,,2.0853658536585367,0.855,2.0,,,1.29
73,564,3,10.2,1012372,3981310,1,0.45,,,1.603448275862069,0.465,2.0,,,0.9
75,564,3,20.9,1012372,3981310,1,0.33,,,1.7906976744186047,0.385,2.0,,,0.66
77,564,3,42.7,1012372,3981310,1,0.3,,,2.0,0.3,2.0,,,0.6
79,564,3,87.4,1012372,3981310,1,0.565,,,1.8225806451612903,0.565,2.0088495575221237,,,1.1349999999999998
80,564,3,125.0,1012372,3981310,1,0.595,,,1.8533333333333333,0.695,2.0,,,1.19
81,365,3,5.0,582801,3620340,1,0.675,,,1.8709677419354838,0.87,2.0074074074074075,,,1.355
82,365,3,7.1,582801,3620340,1,0.355,,,1.8333333333333333,0.44,2.0,,,0.71
84,365,3,14.6,582801,3620340,1,0.73,,,2.010869565217391,0.9249999999999998,2.006849315068493,,,1.465
86,365,3,29.9,582801,3620340,1,0.665,,,2.048780487804878,0.84,2.0,,,1.33
89,365,3,87.4,582801,3620340,1,0.43,,,1.7454545454545454,0.48,2.0,,,0.86
98,963,5,61.0,650552,1655147,1,0.6,,,1.8333333333333333,0.605,2.0,,,1.2
100,963,5,125.0,650552,1655147,1,0.28,,,1.9642857142857142,0.275,2.017857142857143,,,0.565
102,104,4,7.1,637257,4082743,1,0.55,,,1.9,0.665,2.0,,,1.1
104,104,4,14.6,637257,4082743,1,0.38,,,1.6829268292682926,0.345,2.0,,,0.76
107,104,4,42.7,637257,4082743,1,0.27,,,1.7647058823529411,0.3,2.0,,,0.54
116,642,5,29.9,1074544,2702765,1,0.675,,,1.9879518072289157,0.825,2.0074074074074075,,,1.355
125,621,7,20.9,424702,2860996,1,0.26,,,1.7647058823529411,0.3,2.0,,,0.52
127,621,7,42.7,424702,2860996,1,0.49,,,2.076923076923077,0.675,2.0,,,0.98
129,621,7,87.4,424702,2860996,1,0.695,,,2.0,0.85,2.0,,,1.39
130,621,7,125.0,424702,2860996,1,0.315,,,1.7105263157894737,0.325,2.0,,,0.63
132,582,3,7.1,208567,3850795,1,0.52,,,1.9275362318840579,0.665,2.0,,,1.04
136,582,3,29.9,208567,3850795,1,0.415,,,1.7966101694915255,0.53,2.0,,,0.83
138,582,3,61.0,208567,3850795,1,0.5,,,2.0952380952380953,0.44,2.01,,,1.005
139,582,3,87.4,208567,3850795,1,0.58,,,1.5942028985507246,0.55,2.0172413793103448,,,1.17
140,582,3,125.0,208567,3850795,1,0.59,,,1.7121212121212122,0.565,2.0,,,1.18
142,618,4,7.1,1062757,1523951,1,0.61,,,1.8082191780821917,0.66,2.0,,,1.22
145,618,4,20.9,1062757,1523951,1,0.665,,,1.945054945054945,0.885,2.0,,,1.33
146,618,4,29.9,1062757,1523951,1,0.295,,,1.8421052631578947,0.35,2.0,,,0.59
147,618,4,42.7,1062757,1523951,1,0.53,,,1.8088235294117647,0.615,2.0,,,1.06
149,618,4,87.4,1062757,1523951,1,0.625,,,1.7777777777777777,0.64,2.0,,,1.25
154,855,7,14.6,947189,7772393,1,0.31,,,1.7073170731707317,0.35,2.0,,,0.62
155,855,7,20.9,947189,7772393,1,0.4,,,1.8653846153846154,0.485,2.0,,,0.8
157,855,7,42.7,947189,7772393,1,0.68,,,1.9135802469135803,0.775,2.0,,,1.36
158,855,7,61.0,947189,7772393,1,0.615,,,2.033707865168539,0.905,2.0,,,1.23
162,208,7,7.1,620168,5691464,1,0.595,,,1.9325842696629214,0.86,2.008403361344538,,,1.195
166,208,7,29.9,620168,5691464,1,0.525,,,1.9672131147540983,0.6,2.0,,,1.05
170,208,7,125.0,620168,5691464,1,0.38,,,1.8235294117647058,0.465,2.0,,,0.76
182,871,3,7.1,1179798,7333864,1,0.555,,,1.974025974025974,0.76,2.0,,,1.11
183,871,3,10.2,1179798,7333864,1,0.775,,,1.8877551020408163,0.925,2.0,,,1.55
184,871,3,14.6,1179798,7333864,1,0.645,,,1.872093023255814,0.805,2.0,,,1.29
187,871,3,42.7,1179798,7333864,1,0.555,,,1.75,0.595,2.0,,,1.11
188,871,3,61.0,1179798,7333864,1,0.67,,,2.011627906976744,0.865,2.0074626865671643,,,1.345
193,136,4,10.2,153589,5645635,1,0.345,,,1.8333333333333333,0.44,2.0,,,0.69
194,136,4,14.6,153589,5645635,1,0.35,,,1.975,0.395,2.0,,,0.7
195,136,4,20.9,153589,5645635,1,0.405,,,1.830188679245283,0.485,2.0,,,0.81
199,136,4,87.4,153589,5645635,1,0.5,,,1.8333333333333333,0.55,2.0,,,1.0
200,136,4,125.0,153589,5645635,1,0.645,,,1.8591549295774648,0.66,2.007751937984496,,,1.295
202,865,7,7.1,412235,1832679,1,0.56,,,2.0655737704918034,0.63,2.0,,,1.12
206,865,7,29.9,412235,1832679,1,0.465,,,1.92,0.48,2.0,,,0.93
210,865,7,125.0,412235,1832679,1,0.515,,,2.0,0.49,2.0,,,1.03
211,213,6,5.0,141762,3297552,1,0.485,,,1.71875,0.55,2.0,,,0.97
215,213,6,20.9,141762,3297552,1,0.62,,,2.28,0.8549999999999999,2.0,,,1.24
216,213,6,29.9,141762,3297552,1,0.29,,,1.5757575757575757,0.26,2.0,,,0.58
217,213,6,42.7,141762,3297552,1,0.57,,,1.7903225806451613,0.555,2.0,,,1.14
221,808,7,5.0,194378,7168707,1,0.705,,,1.9690721649484537,0.955,2.0,,,1.41
225,808,7,20.9,194378,7168707,1,0.51,,,1.8421052631578947,0.525,2.0,,,1.02
226,808,7,29.9,194378,7168707,1,0.695,,,1.9135802469135803,0.775,2.014388489208633,,,1.4
229,808,7,87.4,194378,7168707,1,0.405,,,1.6734693877551021,0.41,2.0123456790123457,,,0.815
230,808,7,125.0,194378,7168707,1,0.7,,,1.989247311827957,0.925,2.0,,,1.4
232,800,5,7.1,482284,6557948,1,0.5,,,2.014925373134328,0.675,2.0,,,1.0
236,800,5,29.9,482284,6557948,1,0.68,,,2.0,0.81,2.0,,,1.36
239,800,5,87.4,482284,6557948,1,0.57,,,2.1475409836065573,0.655,2.0,,,1.14
240,800,5,125.0,482284,6557948,1,0.415,,,1.9056603773584906,0.505,2.0,,,0.83
