config_id,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
83001,831,782,2,5.0,416203,7873062,1,selfish,0.3857676334163057,0.2047082508361712
83002,831,782,2,5.0,416203,7873062,2,selfish,0.2959114945914544,0.9228509849216918
83003,831,782,2,5.0,416203,7873062,3,selfish,0.405342196225377,0.1209354681890304
83004,831,782,2,5.0,416203,7873062,4,selfish,0.2627648343443758,0.7190241322679278
83005,831,782,2,5.0,416203,7873062,5,selfish,0.4995762557070848,0.3625281920046287
83006,831,782,2,5.0,416203,7873062,6,selfish,0.4911132375299709,0.252577974178488
83007,831,782,2,5.0,416203,7873062,7,selfish,0.4657787213448116,0.0151426399118454
83008,831,782,2,5.0,416203,7873062,8,selfish,0.3927810904963459,0.8167673407001561
83009,831,782,2,5.0,416203,7873062,9,selfish,0.2331676534838964,0.9471927912224244
83010,831,782,2,5.0,416203,7873062,10,selfish,0.4737946714611262,0.5224738795684104
83011,831,782,2,5.0,416203,7873062,11,selfish,0.3777435584279705,0.3053722478730439
83012,831,782,2,5.0,416203,7873062,12,selfish,0.3985108847427614,0.9637929216712549
83013,831,782,2,5.0,416203,7873062,13,selfish,0.2238256630629619,0.7912632295125752
83014,831,782,2,5.0,416203,7873062,14,selfish,0.4312459512484686,0.5424263205795637
83015,831,782,2,5.0,416203,7873062,15,selfish,0.28091147618982,0.9551352008768642
83016,831,782,2,5.0,416203,7873062,16,selfish,0.4208942434349683,0.0948525522924531
83017,831,782,2,5.0,416203,7873062,17,selfish,0.4372556438030128,0.9067257327686692
83018,831,782,2,5.0,416203,7873062,18,selfish,0.2312345941585266,0.3847746110331581
83019,831,782,2,5.0,416203,7873062,19,selfish,0.4954733651280948,0.0419355939468332
83020,831,782,2,5.0,416203,7873062,20,selfish,0.2461140406262255,0.1374999707243197
83021,831,782,2,5.0,416203,7873062,21,selfish,0.2397567210258474,0.5887702959721403
83022,831,782,2,5.0,416203,7873062,22,selfish,0.24260325729568,0.2220357375157741
83023,831,782,2,5.0,416203,7873062,23,selfish,0.3494898166749496,0.4302371480503864
83024,831,782,2,5.0,416203,7873062,24,selfish,0.4574864654719545,0.463400582232104
83025,831,782,2,5.0,416203,7873062,25,selfish,0.454095890072901,0.6742162468199493
83026,831,782,2,5.0,416203,7873062,26,selfish,0.2702561230694959,0.837478784452857
83027,831,782,2,5.0,416203,7873062,27,selfish,0.4590052735626949,0.5951250624738255
83028,831,782,2,5.0,416203,7873062,28,selfish,0.4304538627565802,0.2618674911675315
83029,831,782,2,5.0,416203,7873062,29,selfish,0.2901917465581629,0.3137113417077046
83030,831,782,2,5.0,416203,7873062,30,selfish,0.2039812783100412,0.857228363045134
83031,831,782,2,5.0,416203,7873062,31,selfish,0.2689147210983604,0.7842712343444325
83032,831,782,2,5.0,416203,7873062,32,selfish,0.4495856593533723,0.6338235473212548
83033,831,782,2,5.0,416203,7873062,33,selfish,0.2594311744995365,0.5379384620687854
83034,831,782,2,5.0,416203,7873062,34,selfish,0.4113840234518945,0.152863497296565
83035,831,782,2,5.0,416203,7873062,35,selfish,0.444752781116749,0.3583252290098091
83036,831,782,2,5.0,416203,7873062,36,selfish,0.3461077870164497,0.600169191961039
83037,831,782,2,5.0,416203,7873062,37,selfish,0.469568977189866,0.9743873423433428
