round,newCanonicalTipHeight,commonAncestorHeight,oldCanonicalTipHeights,replacingChainBlocks
0,6,4,5,5:0|6:1
0,8,6,7;7,7:2|8:3
0,10,8,9;9,9:4|10:5
0,14,12,13;13;13;13,13:6|14:7
0,14,12,13;13;13;13,13:6|14:8
0,15,13,14,14:7|15:9
0,14,12,13;13;13;13,13:6|14:10
0,16,13,15,14:7|15:9|16:11
0,20,18,19,19:12|20:13
0,22,20,21;21;21,21:14|22:15
0,22,20,21;21;21,21:10|22:16
0,23,20,22,21:14|22:15|23:17
1,8,6,7,7:0|8:1
1,10,8,9,9:2|10:2
1,12,10,11,11:3|12:4
1,12,10,11,11:3|12:5
1,13,11,12,12:5|13:6
1,15,13,14,14:7|15:5
1,15,13,14,14:2|15:2
1,16,13,15,14:7|15:5|16:8
1,19,17,18;18,18:9|19:10
1,23,21,22,22:11|23:12
1,23,21,22,22:13|23:13
1,24,21,23,22:11|23:12|24:14
2,4,2,3;3,3:0|4:1
2,7,5,6,6:2|7:3
2,9,7,8,8:4|9:4
2,9,7,8,8:5|9:6
2,10,7,9,8:5|9:6|10:7
2,14,12,13,13:3|14:8
2,14,12,13;13,13:3|14:8
2,16,14,15,15:4|16:4
3,4,2,3,3:0|4:1
3,4,2,3,3:2|4:3
3,5,2,4,3:0|4:1|5:4
3,5,2,4,3:2|4:3|5:3
3,6,2,5,3:0|4:1|5:4|6:5
3,8,6,7;7,7:6|8:7
3,8,6,7;7,7:6|8:3
3,8,6,7;7,7:6|8:8
3,8,6,7;7,7:6|8:2
3,9,7,8;8;8,8:7|9:9
3,9,7,8;8;8,8:8|9:8
3,9,7,8;8;8,8:8|9:2
3,10,7,9,8:8|9:2|10:2
3,10,7,9;9,8:8|9:2|10:2
3,12,10,11;11,11:10|12:11
3,12,10,11;11,11:3|12:12
3,13,10,12,11:3|12:12|13:12
3,19,17,18,18:13|19:10
3,19,17,18,18:8|19:12
3,20,17,19,18:13|19:10|20:14
4,5,3,4,4:0|5:1
4,5,3,4,4:0|5:2
4,6,4,5,5:1|6:3
4,10,8,9,9:4|10:5
4,10,8,9,9:2|10:6
4,11,8,10,9:4|10:5|11:7
4,13,11,12;12,12:8|13:9
4,13,11,12;12,12:2|13:2
4,14,11,13,12:8|13:9|14:10
4,16,14,15,15:2|16:2
4,16,14,15;15,15:2|16:2
4,18,16,17,17:11|18:12
4,20,18,19,19:3|20:3
4,20,18,19;19,19:3|20:3
4,20,18,19;19,19:6|20:6
4,20,18,19;19;19,19:3|20:3
4,20,18,19;19;19,19:6|20:6
4,20,18,19;19;19;19,19:6|20:6
4,20,18,19;19;19;19,19:3|20:3
4,21,18,20,19:6|20:6|21:13
